ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,query,qclass,label_service
1718640656.216902,CvNUlU32rx627I61Ab,192.168.1.4,56423.0,172.64.33.209,53.0,udp,97.24.211.18.in-addr.arpa,1.0,dns
1718640400.921389,CPvXXr3yQyQyCycnD1,192.168.1.4,35386.0,192.168.1.1,53.0,udp,rto.kali.org,1.0,https
1718640880.229759,CEvKP82vcpC3LQIMlk,192.168.1.4,58231.0,172.64.32.136,53.0,udp,183.24.211.18.in-addr.arpa,1.0,dns
1718640000.658545,CK5qnz1LiZildPXw8h,192.168.1.4,34635.0,192.168.1.1,53.0,udp,route.ubuntu.com,1.0,https
1718641064.686502,C7vLdwPTuWc0bHTib,192.168.1.4,51172.0,108.162.192.136,53.0,udp,255.24.211.18.in-addr.arpa,1.0,dns
1718641841.899791,CVQEvJ1g2DZ770vu04,192.168.1.4,60564.0,172.64.32.136,53.0,udp,44.103.39.54.in-addr.arpa,1.0,dns
1718641320.483199,CrxXUyZMzCu17wrYl,192.168.1.4,42362.0,172.64.32.136,53.0,udp,98.49.39.54.in-addr.arpa,1.0,dns
1718640024.908808,CdcOwM0GTuWrr32Lc,192.168.1.4,41534.0,185.125.190.66,53.0,udp,133.91.189.91.in-addr.arpa,1.0,dns
1718640502.272988,C7vLdwPTuWc0bHTib,192.168.1.4,51172.0,108.162.192.136,53.0,udp,37.24.211.18.in-addr.arpa,1.0,dns
1718641190.169419,CAmu7PEmsyqqfWoW6,192.168.1.4,40064.0,192.168.1.1,53.0,udp,connectivity-check.ubuntu.com,1.0,https
1718640380.682934,CAfod116j0SJ7wVZD6,192.168.1.4,49447.0,192.168.1.1,53.0,udp,714.kali.org,1.0,https
1718641132.181374,CsLsof2ArIdi4Rbw4b,192.168.1.4,59464.0,108.162.192.136,53.0,udp,25.49.39.54.in-addr.arpa,1.0,dns
1718640404.112383,CuMnL346VBS2OBYQdd,192.168.1.4,33748.0,192.168.1.1,53.0,udp,varkenspest.kali.org,1.0,https
1718639977.223447,CPm7pJ21j3C8CKhln9,192.168.1.4,59068.0,192.168.1.1,53.0,udp,bc.ubuntu.com,1.0,https
1718642040.996445,CZyjhS1OWHY7wxdcj5,192.168.1.4,33831.0,173.245.59.209,53.0,udp,122.103.39.54.in-addr.arpa,1.0,dns
1718641896.075153,CVQEvJ1g2DZ770vu04,192.168.1.4,60564.0,172.64.32.136,53.0,udp,65.103.39.54.in-addr.arpa,1.0,dns
1718640540.114755,CvNUlU32rx627I61Ab,192.168.1.4,56423.0,172.64.33.209,53.0,udp,52.24.211.18.in-addr.arpa,1.0,dns
1718642265.436502,CZyjhS1OWHY7wxdcj5,192.168.1.4,33831.0,173.245.59.209,53.0,udp,209.103.39.54.in-addr.arpa,1.0,dns
1718641199.254043,CsLsof2ArIdi4Rbw4b,192.168.1.4,59464.0,108.162.192.136,53.0,udp,51.49.39.54.in-addr.arpa,1.0,dns
1718640348.626704,CVC3Mh22ULAkBzVwxb,192.168.1.4,38017.0,185.125.190.66,53.0,udp,174.190.125.185.in-addr.arpa,1.0,dns
1718639993.547,CeomML16hf9MIocWP2,192.168.1.4,58659.0,192.168.1.1,53.0,udp,nc2s.ubuntu.com,1.0,https
1718640816.61157,COFxLC2GAct7aiX1xa,192.168.1.4,57158.0,108.162.193.209,53.0,udp,159.24.211.18.in-addr.arpa,1.0,dns
1718641661.766742,C2bdEN3nCr7bog7EP5,192.168.1.4,46596.0,108.162.193.209,53.0,udp,231.49.39.54.in-addr.arpa,1.0,dns
1718640583.979252,CvNUlU32rx627I61Ab,192.168.1.4,56423.0,172.64.33.209,53.0,udp,69.24.211.18.in-addr.arpa,1.0,dns
1718642175.14495,CZyjhS1OWHY7wxdcj5,192.168.1.4,33831.0,173.245.59.209,53.0,udp,174.103.39.54.in-addr.arpa,1.0,dns
1718640379.32868,CT7ays4flyPdQ30oE4,192.168.1.4,35637.0,192.168.1.1,53.0,udp,1189.kali.org,1.0,https
1718639976.575831,Cu7Wgn3NKfKiSCpXL4,192.168.1.4,34922.0,192.168.1.1,53.0,udp,aoot-servers.ubuntu.com,1.0,https
1718640650.613729,CEvKP82vcpC3LQIMlk,192.168.1.4,58231.0,172.64.32.136,53.0,udp,94.24.211.18.in-addr.arpa,1.0,dns
1718640011.86951,CBohUo3cc6SXvgJKcd,192.168.1.4,41470.0,192.168.1.1,53.0,udp,vbv-cprr.ubuntu.com,1.0,https
1718641596.428772,CsLsof2ArIdi4Rbw4b,192.168.1.4,59464.0,108.162.192.136,53.0,udp,205.49.39.54.in-addr.arpa,1.0,dns
1718640013.731122,Cwrfqu1s2r80z15mRc,192.168.1.4,39589.0,192.168.1.1,53.0,udp,ns3.canonical.com,1.0,https
1718640392.180254,Cqwjq24T3qIuoGVDfe,192.168.1.4,37963.0,192.168.1.1,53.0,udp,kbo-bce-select.kali.org,1.0,https
1718640379.015409,CecEXR3tJVI4cDLRR8,192.168.1.4,49740.0,192.168.1.1,53.0,udp,1082.kali.org,1.0,https
1718641200.126403,CYu6yA3d8tlMS7M9Hl,192.168.1.4,45615.0,172.64.33.209,53.0,udp,52.49.39.54.in-addr.arpa,1.0,dns
1718640655.344567,ChXoHD2fu88KVThkIk,192.168.1.4,46482.0,173.245.58.136,53.0,udp,96.24.211.18.in-addr.arpa,1.0,dns
1718639976.832965,CZIfJpfmW43m5c9te,192.168.1.4,41003.0,192.168.1.1,53.0,udp,asia.ubuntu.com,1.0,https
1718640821.340275,CvNUlU32rx627I61Ab,192.168.1.4,56423.0,172.64.33.209,53.0,udp,161.24.211.18.in-addr.arpa,1.0,dns
1718639980.092063,CdGOVP3mmpzTxyCH1i,192.168.1.4,39484.0,192.168.1.1,53.0,udp,cnrcsa.ubuntu.com,1.0,https
1718639987.874501,CdunPW3RfTTfqKzZQg,192.168.1.4,51893.0,192.168.1.1,53.0,udp,ipcbel130.ubuntu.com,1.0,https
1718641369.041925,C2I0G02nyqaFtfxZ51,192.168.1.4,47988.0,173.245.58.136,53.0,udp,117.49.39.54.in-addr.arpa,1.0,dns
1718641300.708951,CYu6yA3d8tlMS7M9Hl,192.168.1.4,45615.0,172.64.33.209,53.0,udp,91.49.39.54.in-addr.arpa,1.0,dns
1718642027.655107,Cudra12OEIm1le01p2,192.168.1.4,56904.0,108.162.192.136,53.0,udp,116.103.39.54.in-addr.arpa,1.0,dns
1718642141.163843,Cudra12OEIm1le01p2,192.168.1.4,56904.0,108.162.192.136,53.0,udp,160.103.39.54.in-addr.arpa,1.0,dns
1718640855.307521,COFxLC2GAct7aiX1xa,192.168.1.4,57158.0,108.162.193.209,53.0,udp,174.24.211.18.in-addr.arpa,1.0,dns
1718640398.638681,Ce5b161oEMYRiDnwx7,192.168.1.4,35103.0,192.168.1.1,53.0,udp,po.kali.org,1.0,https
1718640879.800067,ChXoHD2fu88KVThkIk,192.168.1.4,46482.0,173.245.58.136,53.0,udp,183.24.211.18.in-addr.arpa,1.0,dns
1718640393.306801,C1qGHR2CdWtz3KbjJa,192.168.1.4,52964.0,192.168.1.1,53.0,udp,lnc12.kali.org,1.0,https
1718641589.551755,C2bdEN3nCr7bog7EP5,192.168.1.4,46596.0,108.162.193.209,53.0,udp,203.49.39.54.in-addr.arpa,1.0,dns
1718640383.915347,CbwSbA4oIGn5VLW6Ea,192.168.1.4,49766.0,192.168.1.1,53.0,udp,budgetenbeheerscontrole.kali.org,1.0,https
1718639987.296698,CfujHj1SkCZtAI2E9,192.168.1.4,36126.0,192.168.1.1,53.0,udp,inasti.ubuntu.com,1.0,https
1718642296.40562,C0jwor2gg8EbtmPZ2d,192.168.1.4,43040.0,108.162.193.209,53.0,udp,221.103.39.54.in-addr.arpa,1.0,dns
1718640399.907075,CdFF431mfOMd81QTwj,192.168.1.4,49517.0,192.168.1.1,53.0,udp,raadvst-consetat.kali.org,1.0,https
1718640867.331494,CEvKP82vcpC3LQIMlk,192.168.1.4,58231.0,172.64.32.136,53.0,udp,178.24.211.18.in-addr.arpa,1.0,dns
1718640348.376795,CVC3Mh22ULAkBzVwxb,192.168.1.4,38017.0,185.125.190.66,53.0,udp,171.190.125.185.in-addr.arpa,1.0,dns
1718641396.132509,CYu6yA3d8tlMS7M9Hl,192.168.1.4,45615.0,172.64.33.209,53.0,udp,128.49.39.54.in-addr.arpa,1.0,dns
1718640508.723141,CpCYRE2pZutPgYS9f8,192.168.1.4,33500.0,173.245.59.209,53.0,udp,40.24.211.18.in-addr.arpa,1.0,dns
1718642268.041463,CA5i4TmPYefTeiju,192.168.1.4,58602.0,172.64.33.209,53.0,udp,210.103.39.54.in-addr.arpa,1.0,dns
1718640396.457982,CypFSl4FAC9PJ838sb,192.168.1.4,47432.0,192.168.1.1,53.0,udp,ns3.kali.org,1.0,https
1718641480.75027,ChKWCz3TNdsDYtF8H7,192.168.1.4,5353.0,224.0.0.251,5353.0,udp,_ipp._tcp.local,1.0,https
1718640756.38543,CEvKP82vcpC3LQIMlk,192.168.1.4,58231.0,172.64.32.136,53.0,udp,135.24.211.18.in-addr.arpa,1.0,dns
1718642244.798372,CZyjhS1OWHY7wxdcj5,192.168.1.4,33831.0,173.245.59.209,53.0,udp,201.103.39.54.in-addr.arpa,1.0,dns
1718641133.483254,CeyKP532PmVtDblY0k,192.168.1.4,52679.0,173.245.59.209,53.0,udp,26.49.39.54.in-addr.arpa,1.0,dns
1718639981.249542,C5lUqW1MCWZ3GuYKe7,192.168.1.4,34314.0,192.168.1.1,53.0,udp,dienstenrichtlijn.ubuntu.com,1.0,https
1718642123.11562,C8zump1PPjJwmawT6e,192.168.1.4,54338.0,173.245.58.136,53.0,udp,153.103.39.54.in-addr.arpa,1.0,dns
1718642195.353595,C8zump1PPjJwmawT6e,192.168.1.4,54338.0,173.245.58.136,53.0,udp,181.103.39.54.in-addr.arpa,1.0,dns
1718639972.642707,CrIRpX3Zer27j6esbc,192.168.1.4,44419.0,192.168.1.1,53.0,udp,1204.ubuntu.com,1.0,https
