ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,duration,local_orig,proto,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971871.02611,ClqgpbjKzo6zmipD2,192.168.1.4,34665,192.168.1.1,53,0.28763699530000003,True,udp,1789,3238,SF,False,0,ShADFadRfR,7,2125,6,3558,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971872.143598,CSvqFC2nlGbpcHE3T8,192.168.1.4,54256,192.168.1.1,53,0.28763699530000003,True,udp,1789,3238,SF,False,0,ShADFadRfR,7,2125,6,3558,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971872.050275,Cfd6Yw1N94XBhCrXl,192.168.1.4,44669,192.168.1.1,53,0.28763699530000003,True,udp,1789,3238,SF,False,0,ShADFadRfR,7,2125,6,3558,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.413992,C5oQZU5ijlux1hNp,192.168.1.4,59626,3.166.192.9,443,0.28763699530000003,True,udp,1789,3238,SF,False,0,ShADFadRfR,7,2125,6,3558,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971869.244495,Cypt2y7NXS0jBrrF1,192.168.1.4,52252,192.168.1.1,53,0.019925117500000002,True,udp,32,107,SF,True,0,Dd,1,60,1,135,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.180636,C1p47u3demmP3U3zZf,192.168.1.4,47966,192.168.1.1,53,0.019925117500000002,True,udp,32,107,SF,True,0,Dd,1,60,1,135,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.296663,Cemn1f3dBUVlVusLGa,192.168.1.4,56666,44.234.213.9,443,0.019925117500000002,True,udp,32,107,SF,True,0,Dd,1,60,1,135,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.123793,C6X9wk4NBJR7HkUMIh,192.168.1.4,54626,52.46.128.147,443,0.019925117500000002,True,udp,32,107,SF,True,0,Dd,1,60,1,135,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971870.513068,C81Qmf1CLeUTUsVwmc,192.168.1.4,46329,192.168.1.1,53,0.019925117500000002,True,udp,32,107,SF,True,0,Dd,1,60,1,135,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971870.813043,CfVvre4hDJl6Wwvnk8,192.168.1.4,36418,192.168.1.1,53,0.019925117500000002,True,udp,32,107,SF,True,0,Dd,1,60,1,135,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.171186,CF1LfI3FbzCff2UEB3,192.168.1.4,34955,192.168.1.1,53,0.0961639881,True,udp,39,365,SF,True,0,Dd,1,67,1,393,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971870.572267,CHSE002WCgxZxM40l1,192.168.1.4,43048,192.168.1.1,53,0.0961639881,True,udp,39,365,SF,True,0,Dd,1,67,1,393,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971870.460868,ClI05421oIGS0P2Qmj,192.168.1.4,43646,192.168.1.1,53,0.0961639881,True,udp,39,365,SF,True,0,Dd,1,67,1,393,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.207999,C9W1HP3GVQCzwK3QPa,192.168.1.4,35972,8.28.7.82,443,0.0961639881,True,udp,39,365,SF,True,0,Dd,1,67,1,393,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.035849,CvJFhE3yIasviRriVd,192.168.1.4,33322,192.168.1.1,53,0.0961639881,True,udp,39,365,SF,True,0,Dd,1,67,1,393,e82a82d1a907d17e,e82a82d1a907d17e,DNS
