ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1723132981.511128,C0W7pj2yMqgfm0GEI3,144.80.70.54,63436,192.168.1.4,22,tcp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,SSH
1723133043.982859,CJBAes4ttXHiKLQGrc,192.168.1.4,41464,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133044.893893,ClttcD37Gpluv56DW3,192.168.1.4,44257,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133043.750684,CnDTNV2Vl92d0QROa6,192.168.1.4,54739,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133046.220204,CDNt991bBRXsCBVa5c,192.168.1.4,38091,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133045.687796,CQk6h81W2vmlH2Ynmb,192.168.1.4,49314,172.253.62.154,443,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,HTTPS
1723133044.248938,CmNyN94dg9AaQJKT6l,192.168.1.4,46046,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133046.217575,COPrC63O4znlDRUb2c,192.168.1.4,45964,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133043.783256,C3yJJe2K0cZideilhc,192.168.1.4,52017,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133044.398743,CbWrT42z6pEntm09q8,192.168.1.4,52366,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133042.896335,Cc9JVm3vzwiZVvEwc,192.168.1.4,40136,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133044.799587,CHwveA2O7zttxJUrfc,192.168.1.4,56052,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133042.86528,CyqbP225jwV9m689Si,192.168.1.4,35999,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133043.948559,CkED7AKdV33qfsLdk,192.168.1.4,47081,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133044.068703,CitAeP3l4fFCsnZRV6,192.168.1.4,54215,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133045.212764,CFtaSG1PCMURp8WBnb,192.168.1.4,57511,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133044.81976,CvZP4W13ndEwmeKOFe,192.168.1.4,52209,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133044.818693,CjRKOW2MsIty780Xsh,192.168.1.4,35762,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133045.490867,CD8m1H30P5AbcXH7j1,192.168.1.4,42424,205.234.175.175,443,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,HTTPS
1723133044.625555,CsoUOo1oKifu1xKBdh,192.168.1.4,51605,192.168.1.1,53,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,DNS
1723133043.02426,CjT0U21RmVOndtq1l4,192.168.1.4,50294,151.101.129.91,443,udp,15.158000946,6388,24090,RSTO,False,True,0,ShAdDaR,149,12360,214,32662,HTTPS
