ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722973897.71194,Ci1SEuJycKXiRTKtd,192.168.1.4,39025,172.253.115.156,443,udp,0.0035390854,40,100,SF,True,True,0,IIIZZiiishH,1,68,1,128,897dea6b13355fe6,e97dea6b13355fe6,HTTPS
1722973952.765386,Ci9d0I2gdoSHe0rko,192.168.1.4,32820,100.20.241.231,443,udp,0.0035390854,40,100,SF,True,True,0,IIIZZiiishH,1,68,1,128,897dea6b13355fe6,e97dea6b13355fe6,HTTPS
1722973954.630408,Czcwph4nPe62XZhfEg,192.168.1.4,45070,192.168.1.1,53,udp,0.0035390854,40,100,SF,True,True,0,IIIZZiiishH,1,68,1,128,897dea6b13355fe6,e97dea6b13355fe6,DNS
1722973922.535849,CvGrWb4uedVvkTE4Lk,192.168.1.4,53840,192.168.1.1,53,udp,0.0035390854,40,100,SF,True,True,0,IIIZZiiishH,1,68,1,128,897dea6b13355fe6,e97dea6b13355fe6,DNS
1722973652.190472,CxPyim2yFGIOQLsUj,192.168.1.4,41024,3.166.192.72,443,tcp,240.0798561573,2417,6853,SF,True,False,0,ShADadFf,21,3517,21,7953,897dea6b13355fe6,e97dea6b13355fe6,HTTPS
1722973922.480746,CAtqNo2tqSLJO3Lnb4,192.168.1.4,33792,192.168.1.1,53,udp,0.051066875500000004,32,96,SF,True,True,0,Dd,1,60,1,124,897dea6b13355fe6,e97dea6b13355fe6,DNS
1722973954.299979,CguVXH2O0ulJl028w7,192.168.1.4,57824,199.38.167.130,443,udp,0.051066875500000004,32,96,SF,True,True,0,Dd,1,60,1,124,897dea6b13355fe6,e97dea6b13355fe6,HTTPS
1722973953.575797,CUNuUU3UPr6uSF5FSc,192.168.1.4,42540,52.92.184.169,443,udp,0.051066875500000004,32,96,SF,True,True,0,Dd,1,60,1,124,897dea6b13355fe6,e97dea6b13355fe6,HTTPS
1722973863.36434,CZqvOf4pYewxzDBPW6,192.168.1.4,45641,146.75.37.229,443,udp,0.0300760269,2815,5275,SF,True,False,0,Dd,7,3011,6,5443,897dea6b13355fe6,e97dea6b13355fe6,HTTPS
1722973954.376799,CZPOSmJPLFsPqXMQ2,192.168.1.4,54272,192.168.1.1,53,udp,0.0212547779,30,364,SF,True,True,0,Dd,1,58,1,392,897dea6b13355fe6,e97dea6b13355fe6,DNS
1722973954.379053,CtfMajb4PyXn1Vhng,192.168.1.4,40597,192.168.1.1,53,udp,0.0212547779,30,364,SF,True,True,0,Dd,1,58,1,392,897dea6b13355fe6,e97dea6b13355fe6,DNS
1722973953.523618,C4uPSm2iiNJ8X3VWF5,192.168.1.4,48674,3.166.192.50,443,udp,0.0212547779,30,364,SF,True,True,0,Dd,1,58,1,392,897dea6b13355fe6,e97dea6b13355fe6,HTTPS
1722973892.541447,CfY8GDyIXK0hWP88f,192.168.1.4,36803,192.168.1.1,53,udp,0.0212547779,30,364,SF,True,True,0,Dd,1,58,1,392,897dea6b13355fe6,e97dea6b13355fe6,DNS
1722973953.68081,CCyPgc2vbeTxfEm81k,192.168.1.4,45348,192.168.1.1,53,udp,0.1510000229,57,182,SF,True,True,0,Dd,1,85,1,210,897dea6b13355fe6,e97dea6b13355fe6,DNS
