ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971752.748741,CccfEa3FZrKgBWD3x3,192.168.1.4,41965,172.253.122.148,443,udp,2.3604271412,1790,5821,SF,True,False,0,IIiiiIhhhHH,12,2398,12,6453,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
1722971752.597106,CaAQGX3dQANqrsDZug,192.168.1.4,58434,31.13.71.7,443,udp,2.3604271412,1790,5821,SF,True,False,0,IIiiiIhhhHH,12,2398,12,6453,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
1722971753.602555,CKpEWbWOykmWdrHm7,192.168.1.4,44447,192.168.1.1,53,udp,0.00147295,46,113,SF,True,True,0,Dd,1,74,1,141,b903a0a3e0b3e775,f903a0a3e0b3e775,DNS
1722971752.931947,CSX1OYJ6KhoHPW5d7,192.168.1.4,59093,192.168.1.1,53,udp,0.0014090538,39,103,SF,True,True,0,Dd,1,67,1,131,b903a0a3e0b3e775,f903a0a3e0b3e775,DNS
1722971867.682493,CY96qp4V9p2F6UUXPc,192.168.1.4,52412,74.119.117.31,443,udp,0.0014090538,39,103,SF,True,True,0,Dd,1,67,1,131,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
1722971868.924826,CA2dsx2J58ubOk3o29,192.168.1.4,49266,192.168.1.1,53,udp,0.0014090538,39,103,SF,True,True,0,Dd,1,67,1,131,b903a0a3e0b3e775,f903a0a3e0b3e775,DNS
1722971752.338845,Cqqg3P2pk7jHtb44I,192.168.1.4,43473,104.21.26.46,443,udp,0.0014090538,39,103,SF,True,True,0,Dd,1,67,1,131,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
1722971745.106949,CmKofD4PsbOL683yi,192.168.1.4,36534,144.80.198.81,443,tcp,10.4468238354,3901,2859581,SF,True,False,302321,ShADadtgTgFf,420,25851,746,2898393,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
1722971718.604726,CyY7Yv16eI1KpqE7Xc,192.168.1.4,33647,23.212.251.200,443,udp,21.746721983,9737,12013,SF,True,False,0,Dd,23,10381,25,12713,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
1722971807.220139,CzgefU24z34hTAesx9,192.168.1.4,54238,146.75.29.42,443,udp,21.746721983,9737,12013,SF,True,False,0,Dd,23,10381,25,12713,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
1722971753.432912,CgBqmB4j8BSKJdK3Kl,192.168.1.4,55927,192.168.1.1,53,udp,0.0014259815,36,101,SF,True,True,0,Dd,1,64,1,129,b903a0a3e0b3e775,f903a0a3e0b3e775,DNS
1722971868.95142,CNYXlM11oHD7fsdxbd,192.168.1.4,40804,34.202.99.55,443,udp,0.0014259815,36,101,SF,True,True,0,Dd,1,64,1,129,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
1722971752.954186,CKA44u1gGghPXsOMR9,192.168.1.4,51137,64.233.180.149,443,udp,0.10516595840000001,5626,12450,SF,True,False,0,Dd,15,6046,19,12982,b903a0a3e0b3e775,f903a0a3e0b3e775,HTTPS
