ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,client_protocol,label
1723133077.344228,CRwURv1RlaBN0EzhSd,192.168.1.4,42014,34.117.188.166,443,udp,0.0472679138,49,114,SF,True,True,0,ISisH,1,77,1,142,e9b0168b367be1e6,e9b0168b367be1e6,h3,HTTPS
1723133068.397978,CD1QkN11l1wFl1fSo,192.168.1.4,44925,107.178.244.119,443,udp,0.0646378994,2762,4955,SF,True,False,0,Dd,7,2958,7,5151,e9b0168b367be1e6,e9b0168b367be1e6,h3,HTTPS
1723133127.507531,CftGD23YzXDO00j53k,192.168.1.4,52138,192.168.1.1,53,udp,0.0646378994,2762,4955,SF,True,False,0,Dd,7,2958,7,5151,e9b0168b367be1e6,e9b0168b367be1e6,h3,DNS
1723133128.071362,C7iuc53rPKUmdf4G31,192.168.1.4,58803,192.168.1.1,53,udp,0.0646378994,2762,4955,SF,True,False,0,Dd,7,2958,7,5151,e9b0168b367be1e6,e9b0168b367be1e6,h3,DNS
1723133126.767763,CxQM363IYx26G9D0De,192.168.1.4,38453,192.168.1.1,53,udp,0.0646378994,2762,4955,SF,True,False,0,Dd,7,2958,7,5151,e9b0168b367be1e6,e9b0168b367be1e6,h3,DNS
1723133068.757155,CQY0aR11nJFdCewsah,192.168.1.4,37095,142.251.163.99,443,udp,0.0646378994,2762,4955,SF,True,False,0,IIiiihhhIHHhH,7,2958,7,5151,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133128.574597,Cd2BsW3oVH7rI76Alc,192.168.1.4,45729,192.168.1.1,53,udp,0.0018270016,49,320,SF,True,True,0,Dd,1,77,1,348,6d9db2b53be15128,ed9db2b53be15128,h3,DNS
1723133170.865478,COdPLR2F4FwD8ghW9l,192.168.1.4,49970,192.168.1.1,53,udp,0.0018270016,49,320,SF,True,True,0,Dd,1,77,1,348,6d9db2b53be15128,ed9db2b53be15128,h3,DNS
1723133128.092843,C0IxWy1wf3Cmh3fVj8,192.168.1.4,56130,54.158.205.30,443,tcp,0.0545709133,1884,4707,SF,True,False,0,ShADadFRf,9,2336,7,5079,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133128.087467,CrHXfC2OYKxmCFtKy,192.168.1.4,40993,192.168.1.1,53,udp,0.0407400131,52,294,SF,True,True,0,Dd,1,80,1,322,6d9db2b53be15128,ed9db2b53be15128,h3,DNS
1723133155.50036,CTEjtyLocaowx78bi,192.168.1.4,41248,23.197.181.2,443,udp,0.0407400131,52,294,SF,True,True,0,Dd,1,80,1,322,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133128.105983,CIxKrU1QnRyqtwqPyf,192.168.1.4,51342,44.209.217.119,443,tcp,0.056375980400000004,1792,5657,SF,True,False,0,ShADadFRf,10,2296,9,6133,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133141.881417,CEdR7v3xm0nnzITdp3,192.168.1.4,33946,63.140.39.72,443,tcp,0.056375980400000004,1792,5657,SF,True,False,0,ShADadFRf,10,2296,9,6133,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133110.996302,CogSms3NXavFk2sNc3,192.168.1.4,55267,192.168.1.1,53,udp,0.0005810261,74,74,SF,True,True,0,Dd,1,102,1,102,6d9db2b53be15128,ed9db2b53be15128,h3,DNS
1723133127.239182,Cx497m4PxQIaLtF6B3,192.168.1.4,37117,192.168.1.1,53,udp,0.0161430836,48,105,SF,True,True,0,Dd,1,76,1,133,6d9db2b53be15128,ed9db2b53be15128,h3,DNS
1723133128.266377,CTzh6D2hxOKuDE5G8g,192.168.1.4,51332,34.231.251.31,443,udp,0.0161430836,48,105,SF,True,True,0,Dd,1,76,1,133,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133128.104151,CM6Mjz3zfzJifQmgk6,192.168.1.4,37714,68.67.160.137,443,udp,0.0161430836,48,105,SF,True,True,0,Dd,1,76,1,133,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133156.752888,CjDL5E1MTKDnL7WrOk,192.168.1.4,59892,192.168.1.1,53,udp,0.0157809258,45,171,SF,True,True,0,Dd,1,73,1,199,6d9db2b53be15128,ed9db2b53be15128,h3,DNS
1723133127.621604,CW1DPP3nr0OBbFq8Da,192.168.1.4,58086,192.168.1.1,53,udp,0.0436329842,61,334,SF,True,True,0,Dd,1,89,1,362,6d9db2b53be15128,ed9db2b53be15128,h3,DNS
1723133128.087073,CXZbde3gWTKydbGhM5,192.168.1.4,53476,142.251.111.154,443,tcp,0.0469238758,1762,5604,SF,True,False,0,ShADFadRfR,9,2178,8,6028,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133073.182326,Cpqzmz1O8QqKTot0nb,192.168.1.4,44114,216.239.36.181,443,udp,0.0687859058,4027,9429,SF,True,False,0,Dd,7,4223,10,9709,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133128.482514,C5bGBP25RKaPBkT3ld,192.168.1.4,42388,107.178.254.65,443,udp,0.0687859058,4027,9429,SF,True,False,0,Dd,7,4223,10,9709,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133077.344228,CRwURv1RlaBN0EzhSd,192.168.1.4,42014,34.117.188.166,443,udp,0.0687859058,4027,9429,SF,True,False,0,Dd,7,4223,10,9709,6d9db2b53be15128,ed9db2b53be15128,h3,HTTPS
1723133128.220683,CAx2Qm2dquHmKevr1c,192.168.1.4,43058,192.168.1.1,53,udp,0.0687859058,4027,9429,SF,True,False,0,Dd,7,4223,10,9709,6d9db2b53be15128,ed9db2b53be15128,h3,DNS
