id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
192.168.1.4,45334.0,68.67.160.24,443.0,udp,0.0,7500.0,0.0,S0,0.0,0.0,0.0,D,6.0,7668.0,0.0,0.0,0.0
192.168.1.4,43300.0,3.162.125.13,443.0,tcp,117.45205283165,2390.0,6566.0,SF,1.0,0.0,0.0,ShADadFf,17.0,3282.0,15.0,7354.0,0.0
192.168.1.4,49942.0,104.18.15.142,443.0,udp,0.029485940933227,51.0,243.0,SF,1.0,1.0,0.0,Dd,1.0,79.0,1.0,271.0,0.0
192.168.1.6,49392.0,192.168.1.4,22.0,SSH,18.090511083602905,1631.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2523.0,22.0,3238.0,1.0
192.168.1.4,53146.0,34.237.70.114,443.0,tcp,3.08859205245972,3385.0,6781.0,SF,1.0,0.0,0.0,ShADadFf,13.0,4069.0,12.0,7413.0,0.0
192.168.1.4,57744.0,192.168.1.1,53.0,udp,0.004906892776489,40.0,209.0,SF,1.0,1.0,0.0,Dd,1.0,68.0,1.0,237.0,0.0
192.168.1.4,50967.0,192.168.1.1,53.0,udp,0.027239799499511,41.0,212.0,SF,1.0,1.0,0.0,Dd,1.0,69.0,1.0,240.0,0.0
192.168.1.4,42382.0,23.9.159.188,443.0,tcp,0.1177179813385,2205.0,591.0,SF,1.0,0.0,0.0,ShADadFRf,8.0,2605.0,7.0,963.0,0.0
192.168.1.4,49442.0,192.168.1.1,53.0,udp,0.001245975494384,54.0,119.0,SF,1.0,1.0,0.0,Dd,1.0,82.0,1.0,147.0,0.0
192.168.1.4,44066.0,192.168.1.1,53.0,udp,0.010733842849731,46.0,144.0,SF,1.0,1.0,0.0,Dd,1.0,74.0,1.0,172.0,0.0
192.168.1.6,51668.0,192.168.1.4,22.0,SSH,18.08980798721313,1615.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2507.0,22.0,3238.0,1.0
192.168.1.4,49760.0,54.191.83.98,443.0,udp,124.069533824921,2838.0,20781.0,SF,1.0,0.0,0.0,ShADadFf,24.0,4094.0,28.0,22245.0,0.0
192.168.1.4,54965.0,142.251.163.147,443.0,udp,0.072645902633666,41.0,117.0,SF,1.0,1.0,0.0,IIiiihhhIHHhH,1.0,69.0,1.0,145.0,0.0
192.168.1.4,45723.0,192.168.1.1,53.0,udp,0.001032829284667,64.0,64.0,SF,1.0,1.0,0.0,Dd,1.0,92.0,1.0,92.0,0.0
192.168.1.6,41486.0,192.168.1.4,22.0,SSH,18.088622093200684,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0
192.168.1.4,49620.0,192.168.1.1,53.0,udp,0.023061037063598,47.0,650.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,678.0,0.0
192.168.1.6,41346.0,192.168.1.4,22.0,SSH,18.08855891227722,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0
192.168.1.6,46422.0,192.168.1.4,22.0,SSH,18.090823888778687,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0
192.168.1.4,35659.0,192.168.1.1,53.0,udp,0.091943979263305,45.0,116.0,SF,1.0,1.0,0.0,Dd,1.0,73.0,1.0,144.0,0.0
192.168.1.6,43468.0,192.168.1.4,22.0,SSH,18.08911418914795,1615.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2507.0,22.0,3238.0,1.0
192.168.1.6,40484.0,192.168.1.4,22.0,SSH,18.087342977523804,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0
192.168.1.4,56678.0,192.168.1.1,53.0,udp,0.177819013595581,44.0,467.0,SF,1.0,1.0,0.0,Dd,1.0,72.0,1.0,495.0,0.0
192.168.1.4,47802.0,68.67.178.10,443.0,udp,0.0,2338.0,113624.0,SF,0.0,0.0,0.0,ShADadFf,57.0,5310.0,89.0,118260.0,0.0
192.168.1.4,58719.0,192.168.1.1,53.0,udp,0.002974033355712,46.0,130.0,SF,1.0,1.0,0.0,Dd,1.0,74.0,1.0,158.0,0.0
192.168.1.4,45390.0,204.79.197.239,443.0,tcp,0.043946981430053,1824.0,5897.0,S2,1.0,0.0,0.0,ShADadF,8.0,2164.0,8.0,6229.0,0.0
192.168.1.4,60470.0,146.75.39.42,443.0,udp,0.068167209625244,3320.0,4787.0,SF,1.0,0.0,0.0,Dd,9.0,3572.0,12.0,5123.0,0.0
192.168.1.4,38470.0,31.13.66.35,443.0,tcp,0.041677951812744,1790.0,2483.0,SF,1.0,0.0,0.0,ShADaFdRfR,7.0,2126.0,5.0,2751.0,0.0
192.168.1.6,33676.0,192.168.1.4,22.0,SSH,18.088521003723145,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0
192.168.1.4,60268.0,192.168.1.1,53.0,udp,65.0494339466095,2346.0,6084.0,SF,1.0,0.0,0.0,ShADadfF,17.0,3238.0,18.0,7028.0,0.0
192.168.1.4,55695.0,192.168.1.1,53.0,udp,0.002615928649902,60.0,120.0,SF,1.0,1.0,0.0,Dd,1.0,88.0,1.0,148.0,0.0
192.168.1.4,47360.0,132.145.172.253,443.0,tcp,240.090485095978,2476.0,10404.0,SF,1.0,0.0,0.0,ShADadFf,23.0,3680.0,24.0,11660.0,0.0
192.168.1.6,38284.0,192.168.1.4,22.0,SSH,15.082381010055542,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0
192.168.1.6,41730.0,192.168.1.4,22.0,SSH,0.000664949417114,23.0,22.0,SF,1.0,1.0,0.0,ShAdfDrrFr,5.0,291.0,6.0,306.0,1.0
192.168.1.4,44270.0,44.209.76.61,443.0,udp,0.02264404296875,55.0,272.0,SF,1.0,1.0,0.0,Dd,1.0,83.0,1.0,300.0,0.0
192.168.1.4,49709.0,192.168.1.1,53.0,udp,0.079087018966674,92.0,260.0,SF,1.0,1.0,0.0,Dd,1.0,120.0,1.0,288.0,0.0
192.168.1.4,45028.0,35.71.131.137,443.0,udp,72.8404169082642,1889.0,3592.0,SF,1.0,0.0,0.0,ShADadFf,10.0,2417.0,7.0,3964.0,0.0
192.168.1.6,53630.0,192.168.1.4,22.0,SSH,18.08920693397522,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0
192.168.1.4,53025.0,34.98.64.218,443.0,udp,0.008656024932861,46.0,111.0,SF,1.0,1.0,0.0,IIiishhHH,1.0,74.0,1.0,139.0,0.0
