ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1722973954.526543,CqgdiN29W5awB3jlw,192.168.1.4,56318,146.75.38.49,443,tcp,121.6643691063,3485,6777,SF,True,False,0,ShADadFRf,25,4769,30,8345,HTTPS
1722974078.088793,CsF4oCuCvTdVoFZs7,192.168.1.4,34872,142.251.16.156,443,tcp,121.6643691063,3485,6777,SF,True,False,0,ShADadFRf,25,4769,30,8345,HTTPS
1722974077.214419,ClFt8t38G5BaLNSSz9,192.168.1.4,59240,192.168.1.1,53,udp,121.6643691063,3485,6777,SF,True,False,0,ShADadFRf,25,4769,30,8345,DNS
1722973985.281855,Cb9wRk4covvWva8VWg,192.168.1.4,41994,142.251.16.100,443,tcp,90.9200959206,2770,9749,SF,True,False,0,ShADadFf,23,3974,20,10797,HTTPS
1722974073.293186,Cv8r8TiguYpabqlf6,192.168.1.4,39660,192.168.1.1,53,udp,0.0110630989,28,158,SF,True,True,0,Dd,1,56,1,186,DNS
1722974077.405902,CvqDm8W9CDydhKNJj,192.168.1.4,33500,51.222.39.187,443,udp,0.0110630989,28,158,SF,True,True,0,Dd,1,56,1,186,HTTPS
1722974077.11134,CYfMiC3nlZP4UVWJU6,192.168.1.4,50972,23.40.60.139,443,udp,0.0110630989,28,158,SF,True,True,0,Dd,1,56,1,186,HTTPS
1722974075.491917,C0eUWM3pWU9w499dU2,192.168.1.4,51700,34.120.63.153,443,tcp,0.7114222050000001,6384,6465,SF,True,False,0,ShADadFf,20,7432,17,7357,HTTPS
1722974073.337605,CcdN6K3YXsRZ85Fu9e,192.168.1.4,34659,192.168.1.1,53,udp,0.0217220783,36,439,SF,True,True,0,Dd,1,64,1,467,DNS
1722974075.900947,CLCzdC2lLM49mcnrL7,192.168.1.4,57056,172.253.122.132,443,tcp,0.0797748566,1848,6708,SF,True,False,0,ShADadFf,10,2376,9,7184,HTTPS
1722973862.558595,CkxTYLPJqhDtKsi1c,192.168.1.4,57226,34.198.122.35,443,tcp,213.0219221115,2622,4614,SF,True,False,0,ShADadFf,15,3410,14,5350,HTTPS
1722973862.608481,Cc2TkF2EHVcjfGbMMk,192.168.1.4,57388,3.166.192.90,443,tcp,213.5917930603,2857,17613,SF,True,False,0,ShADadFf,26,4217,27,19025,HTTPS
1722974073.911507,CaiOjI1X7ALi28rtf9,192.168.1.4,54791,192.168.1.1,53,udp,0.0018241405,35,369,SF,True,True,0,Dd,1,63,1,397,DNS
1722974077.7692,CpHJt43b3gL8937sP,192.168.1.4,47832,142.251.221.67,443,tcp,0.6353678703,1757,5383,SF,True,False,0,ShADaFdRfR,8,2133,7,5755,HTTPS
1722974075.56499,ClRAdo3tyNox1DxtI8,192.168.1.4,46973,192.168.1.1,53,udp,0.0723569393,45,230,SF,True,True,0,Dd,1,73,1,258,DNS
1722974075.184851,CbTzZ1YJ2s4WEmWcd,192.168.1.4,49723,192.168.1.1,53,udp,0.0526230335,33,143,SF,True,True,0,Dd,1,61,1,171,DNS
1722974077.222822,C5a4Pk2GaEH8UNrg94,192.168.1.4,48472,172.253.115.132,443,udp,0.0526230335,33,143,SF,True,True,0,Dd,1,61,1,171,HTTPS
1722974073.537984,CSBgEQ318326SMRmrl,192.168.1.4,52583,192.168.1.1,53,udp,0.0301001072,34,267,SF,True,True,0,Dd,1,62,1,295,DNS
1722974076.234224,CdLLDQ1BV9nPdDDbTh,192.168.1.4,41102,192.168.1.1,53,udp,0.0389540195,43,105,SF,True,True,0,Dd,1,71,1,133,DNS
1722973954.278981,CZg2Py1dMxFU9f8Q8l,192.168.1.4,57844,199.38.167.130,443,tcp,121.1860201359,2627,11797,SF,True,False,0,ShADadFf,15,3415,16,12637,HTTPS
1722974077.897879,CCjO7u3bC7miQC41Th,192.168.1.4,51142,192.168.1.1,53,udp,0.0034701824,47,132,SF,True,True,0,Dd,1,75,1,160,DNS
1722974073.257144,C3kjTn4IkBvydtIpae,192.168.1.4,41745,192.168.1.1,53,udp,0.028496027,38,122,SF,True,True,0,Dd,1,66,1,150,DNS
1722974080.549842,Ci9YUo2S2JPHq2i2G8,192.168.1.4,52584,44.212.89.30,443,udp,0.028496027,38,122,SF,True,True,0,Dd,1,66,1,150,HTTPS
1722973832.722276,CPrmQD2epCJP5v85r,192.168.1.4,37194,142.251.111.97,443,tcp,243.4704370499,2686,414208,SF,True,False,0,ShADadtFf,178,11974,212,425240,HTTPS
1722974076.179134,C3MDyj4O1rWLiOoDL,192.168.1.4,44405,192.168.1.1,53,udp,0.0391252041,35,122,SF,True,True,0,Dd,1,63,1,150,DNS
1722974073.427957,Cb4okm3W2YSLCQ4Y6k,192.168.1.4,33191,192.168.1.1,53,udp,0.004242897000000001,40,101,SF,True,True,0,Dd,1,68,1,129,DNS
1722974076.041078,CBLCcg49GN6wdjIZMf,192.168.1.4,53630,3.5.28.158,443,tcp,0.11545491220000001,2526,6074,SF,True,False,0,ShADadFRf,17,3394,16,6914,HTTPS
1722974073.284887,Caufw34GlHY5kvjnLb,192.168.1.4,59982,192.168.1.1,53,udp,0.0086088181,43,107,SF,True,True,0,Dd,1,71,1,135,DNS
1722974077.377064,C16zEv39j7fjvjNeUj,192.168.1.4,52732,192.168.1.1,53,udp,0.012234926200000001,36,427,SF,True,True,0,Dd,1,64,1,455,DNS
1722974075.27523,CQLhxGVy0Z4abgN52,192.168.1.4,45982,192.168.1.1,53,udp,0.0142421722,29,452,SF,True,True,0,Dd,1,57,1,480,DNS
1722974076.016987,COqyNX3jOoWNWu6AVd,192.168.1.4,50714,192.168.1.1,53,udp,0.0136799812,46,124,SF,True,True,0,Dd,1,74,1,152,DNS
1722974075.399388,CVOoOb4Y5nU4DnrKJ9,192.168.1.4,54448,35.227.252.103,443,tcp,0.8052499294000001,2828,4557,SF,True,False,0,ShADadFf,18,3772,16,5397,HTTPS
1722974075.434529,Cmctw24x8ka7qjUlq1,192.168.1.4,49768,192.168.1.1,53,udp,0.039667844800000004,38,441,SF,True,True,0,Dd,1,66,1,469,DNS
1722974048.816232,Cmi5b81FAxZeUBZ9Rj,192.168.1.4,40292,204.79.197.237,443,tcp,27.3725569248,5875,8283,SF,True,False,0,ShADadFf,15,6495,18,9015,HTTPS
1722973985.007988,CEU4yU1dpqTZEr58V8,192.168.1.4,37146,142.251.167.148,443,tcp,91.1929371357,3596,8155,SF,True,False,0,ShADadFf,23,4800,21,9255,HTTPS
