ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,client_initial_dcid,server_scid
1723223356.02766,CCkhvd151koxIk5qXg,192.168.1.4,56572.0,3.166.192.113,443.0,udp,0.262737989425659,5888.0,10128.0,SF,1.0,0.0,0.0,Dd,13.0,6252.0,17.0,10604.0,0.0,00565a2a3a7e08a5,0670e7a2c281c428
1723224375.40648,C1raWa3Pw1V0frxhLi,192.168.1.4,40268.0,192.168.1.1,53.0,udp,0.031339168548583,43.0,247.0,SF,1.0,1.0,0.0,IIZZiishH,1.0,71.0,1.0,275.0,0.0,740a72022876015c,f40a72022876015c
1723224568.70006,Cvof9N3G3gYlF0zWa5,192.168.1.4,42614.0,13.249.39.75,443.0,udp,0.010767936706542,50.0,132.0,SF,1.0,1.0,0.0,IIiiihhhIHHhH,1.0,78.0,1.0,160.0,0.0,c3f97c5f4ba1ee6b,e3f97c5f4ba1ee6b
1723225086.75405,CyJyLr20bESTMK3UCk,192.168.1.4,60365.0,192.168.1.1,53.0,udp,0.003562927246093,47.0,103.0,SF,1.0,1.0,0.0,Dd,1.0,75.0,1.0,131.0,0.0,eba4a434000aaf39,eba4a434000aaf39
1723224299.61868,C2Ekd919MZWiUYPEX1,192.168.1.4,53784.0,192.168.1.1,53.0,udp,0.00249695777893,59.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,87.0,1.0,141.0,0.0,4bb4393dfae83f57,01ebf162870fe8d552ea73625d0fdb536466856f
1723216306.575593,CvomVNAZcaY4RocGl,192.168.1.6,57480.0,192.168.1.4,22.0,SSH,18.09048795700073,1639.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2531.0,22.0,3238.0,1.0,,
1723215940.494277,CoLE9c4tvoNFnTmT0h,192.168.1.6,46574.0,192.168.1.4,22.0,SSH,18.0871479511261,1607.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2499.0,22.0,3238.0,1.0,,
1723223205.84808,CgDw9h1Tij3wMjaQEa,192.168.1.4,55820.0,192.168.1.1,53.0,udp,0.004323005676269,93.0,175.0,SF,1.0,1.0,0.0,Dd,1.0,121.0,1.0,203.0,0.0,13fd2a16786c7af2,0f78466a06800c29
1723223901.01535,CMYAUZ1izzx7nSStFf,192.168.1.4,40477.0,192.168.1.1,53.0,udp,0.016134977340698,44.0,185.0,SF,1.0,1.0,0.0,Dd,1.0,72.0,1.0,213.0,0.0,cc67744c9a058362,01e3ec4144d38432ade16641dad39ff47df46bbc
1723215663.378583,Ce7gLp13uLmaJfuBzl,192.168.1.6,38814.0,192.168.1.4,22.0,SSH,18.089602947235107,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0,,
1723224328.53151,CyRFi22wyTGSWLLnEf,192.168.1.4,38734.0,13.249.39.113,443.0,tcp,26.2654478549957,2364.0,63281.0,SF,1.0,0.0,0.0,ShADadFf,32.0,4036.0,44.0,65577.0,0.0,7ed4303e57190429,fed4303e57190429
1723221886.164683,C1t3ur2wIDBlZ8MD1b,192.168.1.6,37384.0,192.168.1.4,22.0,SSH,0.000722885131835,23.0,22.0,RSTR,1.0,1.0,0.0,ShADadr,4.0,239.0,5.0,278.0,1.0,,
1723223415.32118,CtzuwG1z5oI9uql2Fh,192.168.1.4,55289.0,192.168.1.1,53.0,udp,0.020421981811523,53.0,274.0,SF,1.0,1.0,0.0,IIiiiIhhhHHH,1.0,81.0,1.0,302.0,0.0,64ca0949026c4b2d,01ff082009014394affd822014017947fdab4afa
1723223569.60609,CID8O0419yL9Y2qG38,192.168.1.4,57211.0,104.18.11.207,443.0,udp,0.01539397239685,49.0,405.0,SF,1.0,1.0,0.0,Dd,1.0,77.0,1.0,433.0,0.0,afd2a069c1ed2b05,efd2a069c1ed2b05
1723224832.59084,ClEPUmQI5XLsYmGhf,192.168.1.4,38478.0,192.168.1.1,53.0,udp,0.022202014923095,58.0,418.0,SF,1.0,1.0,0.0,Dd,1.0,86.0,1.0,446.0,0.0,7ecceae33933e1ed,06a72905033b777a5af9a0fda961bcbb50
1723224082.00634,CT7CGl146MNSgMamZ3,192.168.1.4,39414.0,3.162.103.47,443.0,tcp,215.049882888794,2720.0,6644.0,SF,1.0,0.0,0.0,ShADadFf,16.0,3560.0,15.0,7432.0,0.0,7a4f66647c722a70,06fcf0ad7a825934f7b21bd54919285634
1723223325.20596,CDhi7W1BWL1kRpWC35,192.168.1.4,39777.0,192.168.1.1,53.0,udp,0.047708988189697,50.0,171.0,SF,1.0,1.0,0.0,Dd,1.0,78.0,1.0,199.0,0.0,71d2790949487902,01ddac37413cbed103ddca375f3ca030a9371551
1723224295.87833,CKFMcM1LlyihPqlI4l,192.168.1.4,35669.0,172.253.115.156,443.0,tcp,17.1680009365082,5910.0,2443.0,SF,1.0,0.0,0.0,ShADadFf,19.0,6906.0,16.0,3283.0,0.0,0b968ba8848e2325,0a6c3d02d2800c29
1723223600.51763,CADkau3cdnwQMR5OUl,192.168.1.4,56742.0,52.147.223.216,443.0,tcp,0.014344930648803,0.0,0.0,RSTO,1.0,0.0,0.0,ShR,2.0,100.0,1.0,60.0,0.0,bcba71dbfecd6ad2,fcba71dbfecd6ad2
1723223409.2808,CT3OgD2LHhCFZbE0X8,192.168.1.4,57477.0,192.168.1.1,53.0,udp,60.1342778205872,1854.0,4485.0,RSTO,1.0,0.0,0.0,ShADadfR,11.0,2446.0,13.0,5169.0,0.0,34642f71ffecc96f,f4642f71ffecc96f
1723217300.863687,CbdJZK3o1V8um5wkLj,192.168.1.6,35156.0,192.168.1.4,22.0,SSH,15.084160804748535,1623.0,2086.0,SF,1.0,1.0,0.0,ShADadFf,17.0,2515.0,22.0,3238.0,1.0,,
1723225078.59419,CgQSkBvJgATmRcoYc,192.168.1.4,37815.0,192.168.1.1,53.0,udp,0.041517972946166,54.0,407.0,SF,1.0,1.0,0.0,Dd,1.0,82.0,1.0,435.0,0.0,99a4d4c7c7bf222e,942101190d0035b2
1723224986.17764,Cc3UO4CrUTtNztVI9,192.168.1.4,59088.0,132.145.172.253,443.0,tcp,65.0654730796814,2343.0,6111.0,SF,1.0,0.0,0.0,ShADadfF,15.0,3131.0,17.0,7003.0,0.0,9aaf8aa949a18504,faaf8aa949a18504
1723225015.32675,Cq5rmn251iXfZHjwBl,192.168.1.4,45033.0,192.168.1.1,53.0,udp,0.066992044448852,54.0,451.0,SF,1.0,1.0,0.0,Dd,1.0,82.0,1.0,479.0,0.0,6e71b1dcedc42b6e,ee71b1dcedc42b6e
