ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722974080.7818,Cn8Nzs2dZpRHgadD2,192.168.1.4,53179,142.251.179.94,443,udp,0.0059390068,53,119,SF,True,True,0,IIiiiIhhhHH,1,81,1,147,06688e6473d3e44a,e6688e6473d3e44a,HTTPS
1722974106.496295,C5ynWW2WLJ1eTPr9kd,192.168.1.4,41906,192.168.1.1,53,udp,0.0430669785,44,101,SF,True,True,0,Dd,1,72,1,129,06688e6473d3e44a,e6688e6473d3e44a,DNS
1722974104.859866,Coquf31aSWZj1PkxVd,192.168.1.4,53386,192.168.1.1,53,udp,0.0172832012,47,134,SF,True,True,0,Dd,1,75,1,162,06688e6473d3e44a,e6688e6473d3e44a,DNS
1722974104.434642,Cxm8a04myenOWGQZDh,192.168.1.4,52269,23.212.250.81,443,udp,0.0172832012,47,134,SF,True,True,0,Dd,1,75,1,162,06688e6473d3e44a,e6688e6473d3e44a,HTTPS
1722974074.721085,CyyuWg19TRMwNGss5j,192.168.1.4,52950,104.18.1.168,443,udp,0.0172832012,47,134,SF,True,True,0,IIiiiihhhIHHH,1,75,1,162,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,HTTPS
1722974109.86471,CtF0VV2q3OgoS87wMh,192.168.1.4,52807,192.168.1.1,53,udp,0.030207872400000002,32,214,SF,True,True,0,Dd,1,60,1,242,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,DNS
1722974133.529993,CN7SJZ1hHIT4Kb7Iu8,192.168.1.4,55356,144.118.67.10,443,udp,0.030207872400000002,32,214,SF,True,True,0,Dd,1,60,1,242,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,HTTPS
1722974107.381302,C1BIRyBW9JAVDx0R2,192.168.1.4,41732,192.168.1.1,53,udp,0.0173268318,35,478,SF,True,True,0,Dd,1,63,1,506,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,DNS
1722974105.141395,CpPp2p2orh46aJBeG4,192.168.1.4,44113,192.168.1.1,53,udp,0.0614948273,40,106,SF,True,True,0,Dd,1,68,1,134,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,DNS
1722974134.437263,CTRBIXAnqiK0kEby7,192.168.1.4,52456,20.114.189.135,443,udp,0.0614948273,40,106,SF,True,True,0,Dd,1,68,1,134,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,HTTPS
1722974073.522082,CjYTb84ZfGQESQNNA9,192.168.1.4,40920,172.253.62.154,443,udp,0.0614948273,40,106,SF,True,True,0,Dd,1,68,1,134,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,HTTPS
1722974134.012252,CGaibz4sGDxOmp6a6g,192.168.1.4,55143,192.168.1.1,53,udp,0.0614948273,40,106,SF,True,True,0,Dd,1,68,1,134,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,DNS
1722974134.196244,CZxZDt12PQJVGdpH3h,192.168.1.4,48352,192.168.1.1,53,udp,0.016912937200000002,32,468,SF,True,True,0,Dd,1,60,1,496,3373b20572a07198,01a8bfad9a36cbda98a97bacb436c804ac8d2602,DNS
1722974074.778973,Csndav2XBpzRaQbDEc,192.168.1.4,41908,172.253.63.154,443,udp,0.016912937200000002,32,468,SF,True,True,0,IIiiihIhHhHhH,1,60,1,496,eeeaac8fa9d222ba,eeeaac8fa9d222ba,HTTPS
1722974080.593189,C4ZZr04RJ0Kp0npRr1,192.168.1.4,59928,44.215.169.40,443,tcp,60.0429570675,2679,838,SF,True,False,0,ShADadfF,14,3415,16,1678,eeeaac8fa9d222ba,eeeaac8fa9d222ba,HTTPS
1722974075.387328,C6yFF23aVE01IDKePe,192.168.1.4,49073,172.253.62.104,443,tcp,60.0429570675,2679,838,SF,True,False,0,ShADadfF,14,3415,16,1678,eeeaac8fa9d222ba,eeeaac8fa9d222ba,HTTPS
1722974134.061024,C7xS8L1O08YjtXi2S2,192.168.1.4,36346,3.163.245.4,443,tcp,60.0429570675,2679,838,SF,True,False,0,ShADadfF,14,3415,16,1678,eeeaac8fa9d222ba,eeeaac8fa9d222ba,HTTPS
1722974106.056017,CPWiVT264w8Ouqnq4l,192.168.1.4,41907,172.253.63.155,443,udp,0.6500341892,7630,9812,SF,True,False,0,Dd,19,8162,19,10344,eeeaac8fa9d222ba,eeeaac8fa9d222ba,HTTPS
1722974106.178012,CpFHig4TV6RyS29GT8,192.168.1.4,57093,192.168.1.1,53,udp,0.0084381104,42,124,SF,True,True,0,Dd,1,70,1,152,eeeaac8fa9d222ba,eeeaac8fa9d222ba,DNS
