ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971687.572625,CtcmGh4pGjG0NUb6tg,192.168.1.4,48304,142.251.163.94,443,udp,0.0182609558,46,467,SF,True,True,0,IIiiiIhhhHH,1,74,1,495,c7c399d3f4f5c008,e7c399d3f4f5c008,HTTPS
1722971199.720054,CeluCh3W1gpj8E1dRd,192.168.1.4,45878,146.75.38.172,80,tcp,540.6713101864,2616,227774,SF,True,False,0,ShADadtFf,104,8056,140,237131,c7c399d3f4f5c008,e7c399d3f4f5c008,HTTP
1722971716.513873,CWoS3As4QqDVBYv5f,192.168.1.4,45761,192.168.1.1,53,udp,0.0011258125,40,101,SF,True,True,0,Dd,1,68,1,129,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971626.374399,C9zRDk4eYnpzJ33Ayc,192.168.1.4,50544,23.40.60.154,443,tcp,113.9970090389,2417,290333,SF,True,False,0,ShADadFfR,81,6613,119,296529,c7c399d3f4f5c008,e7c399d3f4f5c008,HTTPS
1722971720.883196,CX9E4bmnIz9cF5m11,192.168.1.4,56403,192.168.1.1,53,udp,113.9970090389,2417,290333,SF,True,False,0,ShADadFfR,81,6613,119,296529,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971717.808671,CGK54t1z0l7gLJd7Fd,192.168.1.4,55344,192.168.1.1,53,udp,0.028709888500000003,36,118,SF,True,True,0,Dd,1,64,1,146,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971718.103954,Csc0sW2cR5EQrrxpB8,192.168.1.4,49816,63.140.39.93,443,tcp,22.2675888538,3588,5395,SF,True,False,0,ShADadFfR,15,4352,14,6131,c7c399d3f4f5c008,e7c399d3f4f5c008,HTTPS
1722971752.410472,CUNLCE1K0bTc5Ebi4h,192.168.1.4,60368,192.168.1.1,53,udp,22.2675888538,3588,5395,SF,True,False,0,ShADadFfR,15,4352,14,6131,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971208.455733,C554C11nkOhsFRdaMk,192.168.1.4,59540,146.75.38.132,443,tcp,531.9027290344,2531,4256,SF,True,False,0,ShADadFRf,25,3815,25,5564,c7c399d3f4f5c008,e7c399d3f4f5c008,HTTPS
1722971718.238039,CR0RXSWDLcul28vPg,192.168.1.4,52123,192.168.1.1,53,udp,0.0030000210000000003,45,106,SF,True,True,0,Dd,1,73,1,134,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971688.312627,CKFD783IXhgrfNeEY6,192.168.1.4,38144,3.163.245.4,443,tcp,52.0458219051,2309,27870,SF,True,False,0,ShADadFf,21,3409,22,29022,c7c399d3f4f5c008,e7c399d3f4f5c008,HTTPS
1722971745.037431,Cc8Tij2ekcGcs3e99c,192.168.1.4,37838,192.168.1.1,53,udp,52.0458219051,2309,27870,SF,True,False,0,ShADadFf,21,3409,22,29022,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971752.689975,CPxTwBTopXafGkoHg,192.168.1.4,38036,3.163.245.4,443,udp,52.0458219051,2309,27870,SF,True,False,0,ShADadFf,21,3409,22,29022,c7c399d3f4f5c008,e7c399d3f4f5c008,HTTPS
1722971718.867257,CmIYuh4xUo4bX5yi5,192.168.1.4,38501,192.168.1.1,53,udp,0.0172359943,43,383,SF,True,True,0,Dd,1,71,1,411,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971752.321425,Crmes9127zriUkNl79,192.168.1.4,45858,192.168.1.1,53,udp,0.0172359943,43,383,SF,True,True,0,Dd,1,71,1,411,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971717.9598,CDvcGa3lHLFtwTakR6,192.168.1.4,41196,192.168.1.1,53,udp,0.0129349232,46,113,SF,True,True,0,Dd,1,74,1,141,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
1722971657.333231,Cqcv4phSkjVS9dXH3,192.168.1.4,53032,23.50.125.163,443,tcp,83.0350210667,2833,13775,SF,True,False,0,ShADadFRf,22,3961,24,15031,c7c399d3f4f5c008,e7c399d3f4f5c008,HTTPS
1722971747.70013,C2uM0H15jDujqJowW,192.168.1.4,40316,192.168.1.1,53,udp,0.0011680126,44,108,SF,True,True,0,Dd,1,72,1,136,c7c399d3f4f5c008,e7c399d3f4f5c008,DNS
