ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722974044.222701,Cy0A8K2B4ZwJyCpbs,192.168.1.4,52137,172.253.63.155,443,udp,1.4168639183,2784,4199,SF,True,False,0,IIZiishH,17,3652,15,4987,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974105.251953,CdIIwkX0Ppfylii4c,192.168.1.4,58206,174.137.133.32,443,tcp,0.078346014,2631,3887,SF,True,False,0,ShADadfF,8,3055,9,4363,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974106.86202,CbGZq81c0A0ivjiAkg,192.168.1.4,35012,192.168.1.1,53,udp,0.078346014,2631,3887,SF,True,False,0,ShADadfF,8,3055,9,4363,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,DNS
1722974105.863409,CQdTGK29dvDayp9SNi,192.168.1.4,53700,192.168.1.1,53,udp,0.078346014,2631,3887,SF,True,False,0,ShADadfF,8,3055,9,4363,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,DNS
1722973885.538471,CEuMxy3POO9labTvpg,192.168.1.4,43664,142.250.80.110,443,tcp,208.175661087,30096,1597407,SF,True,False,9589,ShADadtgFf,717,67424,1376,1668979,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974113.149628,CsGuZTXxrXiLHTHhh,192.168.1.4,41154,34.111.113.62,443,tcp,208.175661087,30096,1597407,SF,True,False,9589,ShADadtgFf,717,67424,1376,1668979,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974105.151588,CFj4Tk2l3w4zt02kFl,192.168.1.4,57285,192.168.1.1,53,udp,208.175661087,30096,1597407,SF,True,False,9589,ShADadtgFf,717,67424,1376,1668979,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,DNS
1722974105.199173,CBP1Jl3JlZH7feaDB8,192.168.1.4,43208,146.75.38.133,443,udp,208.175661087,30096,1597407,SF,True,False,9589,ShADadtgFf,717,67424,1376,1668979,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974107.862457,CDRLBNuZCQEjBvTGl,192.168.1.4,55354,192.168.1.1,53,udp,208.175661087,30096,1597407,SF,True,False,9589,ShADadtgFf,717,67424,1376,1668979,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,DNS
1722974080.72011,CJnj6Od5MtWQECUtb,192.168.1.4,44600,74.119.117.17,443,tcp,10.0433521271,2510,5288,SF,True,False,0,ShADadfF,14,3246,13,5972,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974107.039778,C7ss5T38TMq8hBtVPd,192.168.1.4,46210,146.75.29.108,443,tcp,0.0,2510,5288,SF,False,False,0,ShADadfF,14,3246,13,5972,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974106.470085,CPMlpD1y4juTm4xNcd,192.168.1.4,35552,192.168.1.1,53,udp,0.0,2510,5288,SF,False,False,0,ShADadfF,14,3246,13,5972,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,DNS
1722974103.843452,C0KY7e187oLYtAKYWk,192.168.1.4,37970,146.75.38.133,443,tcp,0.0554559231,1875,5006,SF,True,False,0,ShADadFRRf,12,2459,11,5586,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974106.469241,CyLkYp2X2z3JwcV4c4,192.168.1.4,34430,172.253.115.132,443,tcp,0.0155181885,0,0,RSTO,True,False,0,ShR,2,100,1,60,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
1722974103.843524,Cupg8a4blMsv3abd45,192.168.1.4,37986,146.75.38.133,443,tcp,0.0554699898,1907,5006,SF,True,False,0,ShADadFRRf,12,2491,10,5534,fc0f4c5423c4ebb8,fc0f4c5423c4ebb8,HTTPS
