ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971837.249769,Czq0oeHhjRCBCM5qh,192.168.1.4,41217,31.13.71.52,443,udp,0.0041711330000000005,36,120,SF,True,True,0,IIishhhHHh,1,64,1,148,97dbef2a4ec5b219,a02d011f13cbdd96,HTTPS
1722971871.460474,C5iEc72FXfiijxhYg6,192.168.1.4,56460,192.168.1.1,53,udp,0.024699926400000002,34,99,SF,True,True,0,Dd,1,62,1,127,97dbef2a4ec5b219,a02d011f13cbdd96,DNS
1722971900.56589,Cn1Ium1BXZM19uklEl,192.168.1.4,42532,192.168.1.1,53,udp,0.024699926400000002,34,99,SF,True,True,0,Dd,1,62,1,127,97dbef2a4ec5b219,a02d011f13cbdd96,DNS
1722971898.368771,C7wv1G3bUB4tEFxr9,192.168.1.4,40977,192.168.1.1,53,udp,0.024699926400000002,34,99,SF,True,True,0,Dd,1,62,1,127,97dbef2a4ec5b219,a02d011f13cbdd96,DNS
1722971897.069101,CeRegN29YaVYdbI9yg,192.168.1.4,46450,104.18.15.161,443,udp,0.024699926400000002,34,99,SF,True,True,0,Dd,1,62,1,127,97dbef2a4ec5b219,a02d011f13cbdd96,HTTPS
1722971872.067043,CMkVmu4S8g8S15eSlb,192.168.1.4,42803,192.168.1.1,53,udp,0.0038340092000000003,41,126,SF,True,True,0,Dd,1,69,1,154,97dbef2a4ec5b219,a02d011f13cbdd96,DNS
1722971897.394429,Clp4Nx2aXvF1BButV9,192.168.1.4,48187,192.168.1.1,53,udp,0.0038340092000000003,41,126,SF,True,True,0,Dd,1,69,1,154,97dbef2a4ec5b219,a02d011f13cbdd96,DNS
1722971898.051793,Cz0U0Z1sdkGA2CgvIg,192.168.1.4,52045,192.168.1.1,53,udp,0.0038340092000000003,41,126,SF,True,True,0,Dd,1,69,1,154,97dbef2a4ec5b219,a02d011f13cbdd96,DNS
1722971899.33654,CwNbce29qxkQ49UbSe,192.168.1.4,45316,3.223.163.65,443,udp,0.0038340092000000003,41,126,SF,True,True,0,Dd,1,69,1,154,97dbef2a4ec5b219,a02d011f13cbdd96,HTTPS
1722971870.813043,CfVvre4hDJl6Wwvnk8,192.168.1.4,36418,192.168.1.1,53,udp,0.0168828964,30,157,SF,True,True,0,Dd,1,58,1,185,97dbef2a4ec5b219,a02d011f13cbdd96,DNS
1722971871.3899,CtK4HE4sNNUZHRDk6e,192.168.1.4,40862,69.173.146.5,443,tcp,27.3926041126,2181,543,SF,True,False,0,ShADadFf,10,2709,8,967,97dbef2a4ec5b219,a02d011f13cbdd96,HTTPS
