ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722973771.908606,CiwSnp2ruetQ6YIH97,192.168.1.4,38070,162.159.136.232,443,udp,0.0013711452000000001,50,116,SF,True,True,0,IIiiihhIHHhH,1,78,1,144,7a02860661f4d704,018408f92a041b971385ccf9c6040921401eda9a,HTTPS
1722973832.743729,CgFHN54qMiYdSNkrU9,192.168.1.4,44844,192.168.1.1,53,udp,0.0015799999,35,425,SF,True,True,0,Dd,1,63,1,453,7a02860661f4d704,018408f92a041b971385ccf9c6040921401eda9a,DNS
1722973773.988962,CqsCbO20ba3To36Wzh,192.168.1.4,44837,64.233.180.95,443,udp,0.0015799999,35,425,SF,True,True,0,IIiiiIhhHhHhH,1,63,1,453,346bb36960d141e5,f46bb36960d141e5,HTTPS
1722973832.695695,CZ3AOZ39WqTiPxH3Id,192.168.1.4,55235,192.168.1.1,53,udp,0.0015799999,35,425,SF,True,True,0,IIiiiIhhHhHhH,1,63,1,453,346bb36960d141e5,f46bb36960d141e5,DNS
1722973803.260966,Ct2ROZ29RMJmadZpL,192.168.1.4,53108,142.251.179.94,443,udp,0.0015799999,35,425,SF,True,True,0,IIiiiIhhHhHhH,1,63,1,453,346bb36960d141e5,f46bb36960d141e5,HTTPS
1722973803.029179,CQI9JnDqznSddGKJe,192.168.1.4,42775,192.168.1.1,53,udp,0.0041940212,42,92,SF,True,True,0,Dd,1,70,1,120,346bb36960d141e5,f46bb36960d141e5,DNS
1722973838.227077,CmbS4k1v6xLjkYcnUa,192.168.1.4,44455,192.168.1.1,53,udp,0.0047500134,42,92,SF,True,True,0,Dd,1,70,1,120,346bb36960d141e5,f46bb36960d141e5,DNS
1722973805.103334,Cc5tkQ3x2ctCidFUl7,192.168.1.4,50702,192.168.1.1,53,udp,0.0122411251,37,429,SF,True,True,0,Dd,1,65,1,457,346bb36960d141e5,f46bb36960d141e5,DNS
1722973802.227476,CPdfag5KuuXxeetc,192.168.1.4,55204,192.168.1.1,53,udp,0.0122411251,37,429,SF,True,True,0,Dd,1,65,1,457,346bb36960d141e5,f46bb36960d141e5,DNS
1722973741.977313,CymFwt1q0irCwh1Eh7,192.168.1.4,52410,142.251.179.94,443,tcp,60.1718549728,2258,2430,SF,True,False,0,ShADadFf,9,2734,7,2802,346bb36960d141e5,f46bb36960d141e5,HTTPS
1722973833.396926,Cxr27g4ABfimlR7GWg,192.168.1.4,58592,23.205.106.80,443,tcp,60.1718549728,2258,2430,SF,True,False,0,ShADadFf,9,2734,7,2802,346bb36960d141e5,f46bb36960d141e5,HTTPS
1722973838.095073,CgOV4f1Xkf0ujwVZpe,192.168.1.4,45890,192.168.1.1,53,udp,0.0033040047,30,195,SF,True,True,0,Dd,1,58,1,223,346bb36960d141e5,f46bb36960d141e5,DNS
1722973803.306896,ChBJg83yprwV7xdUZ2,192.168.1.4,34344,23.218.218.157,443,udp,0.0033040047,30,195,SF,True,True,0,Dd,1,58,1,223,346bb36960d141e5,f46bb36960d141e5,HTTPS
1722973802.483512,ClxJO32zGME5vtrCxd,192.168.1.4,52058,192.168.1.1,53,udp,0.0033040047,30,195,SF,True,True,0,Dd,1,58,1,223,346bb36960d141e5,f46bb36960d141e5,DNS
1722973805.103435,Cdrg3YHE9P7Nowl6b,192.168.1.4,38154,192.168.1.1,53,udp,0.0022609234,37,146,SF,True,True,0,Dd,1,65,1,174,346bb36960d141e5,f46bb36960d141e5,DNS
1722973823.368695,CYlu7a1T2GyA4qdBpe,192.168.1.4,52109,192.168.1.1,53,udp,0.0022609234,37,146,SF,True,True,0,Dd,1,65,1,174,346bb36960d141e5,f46bb36960d141e5,DNS
1722973802.525946,CwzFc2Px1QxUT74Ck,192.168.1.4,50084,142.251.111.97,443,udp,0.0022609234,37,146,SF,True,True,0,Dd,1,65,1,174,346bb36960d141e5,f46bb36960d141e5,HTTPS
1722973741.864944,CT1DS532vYbYm2n72c,192.168.1.4,43084,64.233.180.95,443,tcp,60.2842059135,2264,2439,SF,True,False,0,ShADadFf,9,2740,7,2811,346bb36960d141e5,f46bb36960d141e5,HTTPS
