ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1720726685.231624,CC4IW73344xXEyq392,192.168.1.4,54858.0,192.0.76.3,443.0,tcp,60.2722589969635,2597.0,11993.0,SF,1.0,0.0,0.0,ShADadfF,22.0,3497.0,26.0,13045.0,HTTPS
1720726621.124105,CLKFPC42cf7XNh1MH7,192.168.1.4,59446.0,162.247.241.14,443.0,tcp,372.2426569461823,16507.0,10940.0,SF,1.0,0.0,0.0,ShADadFf,57.0,19479.0,55.0,13808.0,HTTPS
1720727583.040219,Cnx7dLHdI1HX9CZXj,192.168.1.4,37452.0,52.7.0.13,443.0,tcp,372.2426569461823,16507.0,10940.0,SF,1.0,0.0,0.0,ShADadFf,57.0,19479.0,55.0,13808.0,HTTPS
1720726280.995205,C8lFmZnOXSABMUpVi,192.168.1.6,54692.0,192.168.1.4,21.0,tcp,9.476598024368286,165.0,188.0,SF,1.0,1.0,0.0,ShAdDafrF,18.0,1109.0,17.0,1056.0,FTP
1720727552.287334,CceuJl1M9vHYNT6Zp2,192.168.1.4,55369.0,192.168.1.1,53.0,udp,0.002084970474243,52.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,80.0,1.0,141.0,DNS
1720726498.970408,CiQcPU2xhVLvgD682c,192.168.1.4,58555.0,192.168.1.1,53.0,udp,0.002084970474243,52.0,113.0,SF,1.0,1.0,0.0,Dd,1.0,80.0,1.0,141.0,DNS
1720725986.571497,Csut7e4uKRi7CPsYIe,192.168.1.4,39981.0,192.168.1.1,53.0,udp,0.045624017715454,52.0,285.0,SF,1.0,1.0,0.0,Dd,1.0,80.0,1.0,313.0,DNS
1720727764.958407,Cpi8vx3kF5otL7iCf3,192.168.1.4,48252.0,13.107.246.40,443.0,udp,0.045624017715454,52.0,285.0,SF,1.0,1.0,0.0,Dd,1.0,80.0,1.0,313.0,HTTPS
1720727545.421182,CR3R2I3OxCP5EBHAvk,192.168.1.4,54895.0,192.168.1.1,53.0,udp,0.045624017715454,52.0,285.0,SF,1.0,1.0,0.0,Dd,1.0,80.0,1.0,313.0,DNS
1720727557.308419,CV7xNX2Wd1nlrEpYIl,192.168.1.4,46393.0,192.168.1.1,53.0,udp,0.118417024612426,154.0,154.0,SF,1.0,1.0,0.0,Dd,3.0,238.0,3.0,238.0,DNS
1720725924.791235,C7ltR817wDlHUhjl7h,192.168.1.4,35000.0,172.64.155.119,443.0,udp,0.118417024612426,154.0,154.0,SF,1.0,1.0,0.0,Dd,3.0,238.0,3.0,238.0,HTTPS
1720725887.061694,CcZXf04ZqSKQdCm8U,192.168.1.6,47168.0,192.168.1.4,21.0,tcp,9.88218903541565,109.0,188.0,SF,1.0,1.0,0.0,ShAdDafrF,18.0,1053.0,17.0,1056.0,FTP
1720727001.05267,Cd2zmbyf9jNO6GBXa,192.168.1.4,58492.0,192.168.1.1,53.0,udp,0.005348920822143,46.0,168.0,SF,1.0,1.0,0.0,Dd,1.0,74.0,1.0,196.0,DNS
1720726771.193321,CjL5TQ2xlpfHF4YmYk,192.168.1.4,56314.0,142.251.40.168,443.0,udp,0.005348920822143,46.0,168.0,SF,1.0,1.0,0.0,Dd,1.0,74.0,1.0,196.0,HTTPS
1720727532.329279,CE2BDy1QxlLcq0jdg,192.168.1.4,45164.0,104.166.144.106,443.0,tcp,71.32837295532227,2572.0,7732.0,SF,1.0,0.0,0.0,ShADadFf,18.0,3516.0,21.0,8832.0,HTTPS
1720726678.974242,CpnNRm4EOZBanNufka,192.168.1.4,53643.0,192.168.1.1,53.0,udp,71.32837295532227,2572.0,7732.0,SF,1.0,0.0,0.0,ShADadFf,18.0,3516.0,21.0,8832.0,DNS
1720727622.147912,CMYM484lJ9Jd3jpmj,192.168.1.4,43043.0,31.13.71.36,443.0,udp,51.27406406402588,10919.0,11576.0,SF,1.0,0.0,0.0,Dd,28.0,11703.0,29.0,12388.0,HTTPS
1720727252.413673,CcjVLY1lR0VPQlvox1,192.168.1.4,41327.0,192.168.1.1,53.0,udp,0.02511715888977,42.0,391.0,SF,1.0,1.0,0.0,Dd,1.0,70.0,1.0,419.0,DNS
1720727010.62064,CfGbQS3oIyBF6pj6ab,192.168.1.4,49201.0,192.168.1.1,53.0,udp,0.02511715888977,42.0,391.0,SF,1.0,1.0,0.0,Dd,1.0,70.0,1.0,419.0,DNS
1720726952.577811,CBqnu11lBlQuUxjxE4,192.168.1.4,39493.0,192.168.1.1,53.0,udp,0.02511715888977,42.0,391.0,SF,1.0,1.0,0.0,Dd,1.0,70.0,1.0,419.0,DNS
1720727494.79361,CjaSKegy3lcZW3lvb,192.168.1.4,53782.0,192.168.1.1,53.0,udp,0.02511715888977,42.0,391.0,SF,1.0,1.0,0.0,Dd,1.0,70.0,1.0,419.0,DNS
1720726014.827082,CLeGqF2S0EJJvp7xfl,192.168.1.4,34448.0,23.227.38.65,443.0,tcp,41.50675702095032,1859.0,5835.0,SF,1.0,0.0,0.0,ShADadFf,10.0,2387.0,7.0,6207.0,HTTPS
1720727619.358004,CFijKK2IuvKEk2uZzb,192.168.1.4,35978.0,204.79.197.203,443.0,tcp,41.50675702095032,1859.0,5835.0,SF,1.0,0.0,0.0,ShADadFf,10.0,2387.0,7.0,6207.0,HTTPS
1720726916.306111,C2004D26kyiFoBXpng,192.168.1.6,35608.0,192.168.1.4,21.0,tcp,9.8073308467865,121.0,188.0,SF,1.0,1.0,0.0,ShAdDafrF,18.0,1065.0,17.0,1056.0,FTP
1720727466.745366,CqHBoH2L8zM1qFCaq4,192.168.1.4,45953.0,192.168.1.1,53.0,udp,9.8073308467865,121.0,188.0,SF,1.0,1.0,0.0,ShAdDafrF,18.0,1065.0,17.0,1056.0,DNS
1720726220.840599,CB5LY744XIn4oKRYX7,192.168.1.6,57184.0,192.168.1.4,21.0,tcp,8.773478031158447,182.0,188.0,SF,1.0,1.0,0.0,ShAdDafrF,18.0,1126.0,17.0,1056.0,FTP
1720727676.159005,CWXFdM3yw8oQQ4HMuk,192.168.1.4,44032.0,192.168.1.1,53.0,udp,0.028026103973388,53.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,138.0,DNS
1720727763.991637,C8PGZP2zzfow2tVHs3,192.168.1.4,33656.0,192.168.1.1,53.0,udp,0.028026103973388,53.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,138.0,DNS
1720725987.794342,CXXhSk4DcLkfhSGGtb,192.168.1.4,46218.0,54.210.145.126,443.0,udp,0.028026103973388,53.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,81.0,1.0,138.0,HTTPS
1720725864.64759,CtxTZ622qXuW6CuYUl,192.168.1.4,60380.0,104.17.175.201,443.0,tcp,191.6742820739746,2373.0,29290.0,SF,1.0,0.0,0.0,ShADadttFf,31.0,4173.0,27.0,30702.0,HTTPS
1720727145.978057,C4XxgU33n2mHPjVLb,192.168.1.6,36610.0,192.168.1.4,21.0,tcp,10.337172985076904,120.0,188.0,SF,1.0,1.0,0.0,ShAdDafFr,18.0,1064.0,17.0,1056.0,FTP
1720726137.514327,CNCtqJ3nUCbwGC5Tg6,192.168.1.4,48305.0,192.168.1.1,53.0,udp,0.001181840896606,45.0,110.0,SF,1.0,1.0,0.0,Dd,1.0,73.0,1.0,138.0,DNS
1720726950.876843,Cnz60p4Sl5RCJqJgG9,192.168.1.4,60164.0,192.168.1.1,53.0,udp,0.002450942993164,43.0,436.0,SF,1.0,1.0,0.0,Dd,1.0,71.0,1.0,464.0,DNS
1720726499.620416,CZGgEB33wBDMypNroe,192.168.1.4,54329.0,192.168.1.1,53.0,udp,0.002450942993164,43.0,436.0,SF,1.0,1.0,0.0,Dd,1.0,71.0,1.0,464.0,DNS
1720725877.573884,ChM7E33Kt04oINDSxf,192.168.1.6,52324.0,192.168.1.4,21.0,tcp,9.222323894500732,105.0,188.0,SF,1.0,1.0,0.0,ShAdDafrF,18.0,1049.0,17.0,1056.0,FTP
1720726952.081784,CQM6kTcpVTbC6UxUh,192.168.1.4,55555.0,35.244.159.8,443.0,tcp,9.222323894500732,105.0,188.0,SF,1.0,1.0,0.0,IIiishhHH,18.0,1049.0,17.0,1056.0,HTTPS
1720727435.990875,Cy4rnH1MSXj4u3ETC8,192.168.1.4,58837.0,192.168.1.1,53.0,udp,9.222323894500732,105.0,188.0,SF,1.0,1.0,0.0,IIiishhHH,18.0,1049.0,17.0,1056.0,DNS
1720727226.13304,C5yl77CkKumahXuIb,192.168.1.4,54389.0,192.168.1.1,53.0,udp,9.222323894500732,105.0,188.0,SF,1.0,1.0,0.0,IIiishhHH,18.0,1049.0,17.0,1056.0,DNS
1720727619.339666,CP3zNaUajSH7tUBgl,192.168.1.4,49036.0,192.168.1.1,53.0,udp,9.222323894500732,105.0,188.0,SF,1.0,1.0,0.0,IIiishhHH,18.0,1049.0,17.0,1056.0,DNS
1720726105.362843,CgANJM1p6Cr7HIJqwj,192.168.1.4,36650.0,192.168.1.1,53.0,udp,9.222323894500732,105.0,188.0,SF,1.0,1.0,0.0,IIiishhHH,18.0,1049.0,17.0,1056.0,DNS
